Well ID,Managing Agency,Type,Latitude,Longitude,Well Depth,
355006106094803,USGS,Discrete project site,35.83502589,-106.1639139,69,
351305106383101,USGS,Discrete project site,35.21796667,-106.642175,60,
351305106383102,USGS,Discrete project site,35.21796667,-106.642175,240,
351305106383103,USGS,Discrete project site,35.21796667,-106.642175,800,
351319106373505,USGS,Discrete project site,35.22221944,-106.6270556,,
351319106373506,USGS,Discrete project site,35.22221944,-106.6270556,,
351332106401301,USGS,Discrete project site,35.22527778,-106.6708333,350,
351340106401401,USGS,Discrete project site,35.22776667,-106.6705333,,
351459106403401,USGS,Discrete project site,35.24915,-106.6761056,977,
351542106400701,USGS,Discrete project site,35.26151111,-106.6691889,1957,
351545106462001,USGS,Discrete project site,35.2625,-106.7727778,1740,
351610106421101,USGS,Discrete project site,35.27212222,-106.7078028,1197,
351623106394601,USGS,Discrete project site,35.27305556,-106.6627778,1470,
351627106435301,USGS,Discrete project site,35.27361111,-106.7325,1618,
351630106481201,USGS,Discrete project site,35.275,-106.8033333,1920,
351642106381601,USGS,Discrete project site,35.27831944,-106.6378111,,
351813106394001,USGS,Discrete project site,35.30464722,-106.661875,,
351909106383001,USGS,Discrete project site,35.34247222,-106.6341667,,
351915106352801,USGS,Discrete project site,35.32083333,-106.5913889,1459,
351924106341001,USGS,Discrete project site,35.32332778,-106.5701083,,
341603108552401,USGS,Discrete project site,34.26737222,-108.9234722,,
341815108463601,USGS,Discrete project site,34.30433056,-108.7773889,,
342337108473401,USGS,Discrete project site,34.393675,-108.7934306,,
342405108435701,USGS,Discrete project site,34.40145833,-108.7332194,265,
342452108460001,USGS,Discrete project site,34.41430556,-108.7674972,,
342538108423301,USGS,Discrete project site,34.42756944,-108.7098861,115,
342539108382101,USGS,Discrete project site,34.42793611,-108.6397556,64,
342621108455601,USGS,Discrete project site,34.43922778,-108.7666056,25,
342621108455801,USGS,Discrete project site,34.4392,-108.7660694,52,
342627108460201,USGS,Discrete project site,34.44085833,-108.7684528,47.65,
342633108433101,USGS,Discrete project site,34.44275556,-108.7258833,119,
342636108474901,USGS,Discrete project site,34.44337861,-108.797575,,
342641108461401,USGS,Discrete project site,34.44453333,-108.771,,
342658108454101,USGS,Discrete project site,34.44938611,-108.7617917,3.36,
342743108385201,USGS,Discrete project site,34.46196944,-108.6482694,63,
342756108303001,USGS,Discrete project site,34.46581944,-108.5087778,116,
342808108492301,USGS,Discrete project site,34.46736389,-108.8238111,,
342933108581601,USGS,Discrete project site,34.49252778,-108.971,134,
342949108342901,USGS,Discrete project site,34.49734722,-108.5754444,138,
342954108464801,USGS,Discrete project site,34.49834444,-108.7805972,112,
342956108520601,USGS,Discrete project site,34.49898889,-108.8688722,,
343014108432201,USGS,Discrete project site,34.50396389,-108.72335,189,
343136108404501,USGS,Discrete project site,34.52673889,-108.6804389,189,
343242108495001,USGS,Discrete project site,34.54481944,-108.8316028,,
343842108293401,USGS,Discrete project site,34.6450446,-108.4934019,,
343952108032301,USGS,Discrete project site,34.66449333,-108.0570045,,
344054108023502,USGS,Discrete project site,34.68170633,-109.0428641,300,
344054109023501,USGS,Discrete project site,34.68170632,-109.0436975,208,
344146108064601,USGS,Discrete project site,34.69615878,-108.1133948,500,
344307108523501,USGS,Discrete project site,34.71865144,-108.877026,,
344342108381201,USGS,Discrete project site,34.72843889,-108.6454028,,
344433108382801,USGS,Discrete project site,34.74278611,-108.6417056,,
344437108350301,USGS,Discrete project site,34.74356944,-108.5849444,,
344448108024901,USGS,Discrete project site,34.74671376,-108.04756,220,
344450108543201,USGS,Discrete project site,34.74726192,-108.9095274,200,
344526108552201,USGS,Discrete project site,34.75725,-108.9261944,,
344603108554801,USGS,Discrete project site,34.76753913,-108.9306392,,
344611108583401,USGS,Discrete project site,34.76976103,-108.9767517,307,
344634108390301,USGS,Discrete project site,34.77615191,-108.6514643,405,
344637109014301,USGS,Discrete project site,34.77670483,-109.0292534,270,
344749108594001,USGS,Discrete project site,34.79698251,-108.9950855,,
